Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:09.7,-17.07,32.75,184,3460,14,729023.5,580699
12/6/2021,08:09.8,-17.07,32.75,146,2820,22,580084.4,644329
12/6/2021,08:09.8,-17.07,32.75,58,3787,11,621349.9,516860.5
12/6/2021,08:09.8,-17.07,32.75,149,2971,31,1537854.7,1564082.1
12/6/2021,08:09.8,-17.07,32.75,157,2918,62,5537857.4,5798466.7
12/6/2021,08:09.8,-17.07,32.75,201,3424,25,1922083.7,1737408.8
12/6/2021,08:09.9,-17.07,32.75,196,3398,22,1608629,1360730.8
12/6/2021,08:09.9,-17.07,32.75,60,3282,14,569195,486204.3
12/6/2021,08:09.9,-17.07,32.75,227,2761,43,1995863.1,2153785
12/6/2021,08:09.9,-17.07,32.75,180,3692,16,1161905.3,932675.2
12/6/2021,08:09.9,-17.07,32.75,146,3032,51,4686593.4,4478855.6
12/6/2021,08:10.0,-17.07,32.75,63,3285,16,683278.1,634448.2
12/6/2021,08:10.0,-17.07,32.75,206,3487,13,708479.5,527368.1
12/6/2021,08:10.0,-17.07,32.75,346,3222,47,5362500.1,4859465.3
12/6/2021,08:10.2,-17.07,32.75,184,3444,29,2743811,2347176.2
12/6/2021,08:10.8,-17.07,32.75,166,3221,21,1085401.3,976857.5
12/6/2021,08:10.9,-17.07,32.75,94,2906,10,149120.6,148059.8
12/6/2021,08:10.1,-17.07,32.75,169,3406,13,539066.4,462176.5
12/6/2021,08:10.2,-17.07,32.75,142,3223,31,2196872.4,2104263.7
12/6/2021,08:10.2,-17.07,32.75,180,3628,13,707842.1,559666.6
12/6/2021,08:10.2,-17.07,32.75,157,3336,14,504949.1,467187.9
12/6/2021,08:10.3,-17.07,32.75,176,2482,26,394687.6,487181.6
12/6/2021,08:10.3,-17.07,32.75,188,3419,20,1188467.1,1067752.2
12/6/2021,08:10.3,-17.07,32.75,240,3988,10,642859.6,454914.8
12/6/2021,08:10.3,-17.07,32.75,139,3088,33,2105032,2094670.9
12/6/2021,08:10.3,-17.07,32.75,129,3616,17,1252742.3,954750.5
12/6/2021,08:10.4,-17.07,32.75,173,3144,28,1690994.7,1617296.4
12/6/2021,08:10.4,-17.07,32.75,169,3124,22,943864.6,927166.9
12/6/2021,08:10.4,-17.07,32.75,154,3251,26,1731452.6,1594739.5
12/6/2021,08:10.4,-17.07,32.75,133,3180,44,4376162.5,4165952.6
12/6/2021,08:10.4,-17.07,32.75,160,3402,20,1298647.1,1144458.8
12/6/2021,08:10.5,-17.07,32.75,137,3068,53,5130329.7,5034037.6
12/6/2021,08:10.5,-17.07,32.75,157,3187,24,1276874.6,1209608.8
12/6/2021,08:10.5,-17.07,32.75,192,3258,19,924573.5,806277.6
12/6/2021,08:10.5,-17.07,32.75,166,3237,25,1571837.6,1465681.8
12/6/2021,08:10.6,-17.07,32.75,169,3307,28,2147397.8,1918390.8
12/6/2021,08:10.6,-17.07,32.75,173,3216,51,6264870.8,5834937.4
12/6/2021,08:10.7,-17.07,32.75,176,3704,13,838283.6,671067.5
12/6/2021,08:10.7,-17.07,32.75,142,3093,67,8438154.7,8448744
12/6/2021,08:10.7,-17.07,32.75,146,3178,25,1388400.7,1287440.5
12/6/2021,08:10.8,-17.07,32.75,211,3557,14,776285.3,622774.4
12/6/2021,08:10.8,-17.07,32.75,196,2895,18,442588.2,447202.8
12/6/2021,08:10.8,-17.07,32.75,166,3438,14,682768.2,582600
12/6/2021,08:10.9,-17.07,32.75,176,3507,19,1404787.4,1159426.9
12/6/2021,08:10.9,-17.07,32.75,173,3299,24,1508108.3,1373522.2
12/6/2021,08:10.9,-17.07,32.75,201,3698,14,986009.4,726584.3
12/6/2021,08:10.9,-17.07,32.75,85,3073,22,911014.3,906932.8
12/6/2021,08:10.9,-17.07,32.75,184,3193,31,2265132.2,2088107.4
12/6/2021,08:10.9,-17.07,32.75,192,3534,16,1004400,822527.5
12/6/2021,08:10.9,-17.07,32.75,188,3280,53,7463731.7,6667855.9
12/6/2021,08:10.9,-17.07,32.75,176,3342,21,1343281.8,1128835
12/6/2021,08:10.9,-17.07,32.75,201,3681,14,902169.8,708751
12/6/2021,08:11.0,-17.07,32.75,192,3319,35,3255509.4,2993766.7
12/6/2021,08:11.2,-17.07,32.75,180,3013,25,1062185.4,1029835.2
12/6/2021,08:11.3,-17.07,32.75,160,3260,27,1889331.9,1744644.7
12/6/2021,08:11.3,-17.07,32.75,216,3531,16,996494.2,830025
12/6/2021,08:11.8,-17.07,32.75,180,3056,14,356514.9,355544.3
12/6/2021,08:11.8,-17.07,32.75,120,3120,34,2463269.5,2283751.5
12/6/2021,08:11.9,-17.07,32.75,146,3144,16,484816.4,486433.7
12/6/2021,08:11.1,-17.07,32.75,149,3046,29,1498028.7,1444447.2
12/6/2021,08:11.2,-17.07,32.75,176,3166,21,919245.8,927311.8
12/6/2021,08:11.2,-17.07,32.75,62,3867,15,1242354.5,919140.4
12/6/2021,08:11.3,-17.07,32.75,163,2999,25,1101149,1068303.1
12/6/2021,08:11.3,-17.07,32.75,144,3199,18,714717.4,660818.5
12/6/2021,08:11.3,-17.07,32.75,144,3004,36,2112180,2128111.5
12/6/2021,08:11.3,-17.07,32.75,166,3320,21,1339719.2,1145745.5
12/6/2021,08:11.3,-17.07,32.75,173,2911,18,425103.2,455848
12/6/2021,08:11.4,-17.07,32.75,160,3628,16,1147948.9,907122.3
12/6/2021,08:11.4,-17.07,32.75,169,3130,27,1564943.9,1480551.6
12/6/2021,08:11.4,-17.07,32.75,270,3609,19,1527588.8,1203287.8
12/6/2021,08:11.4,-17.07,32.75,163,3029,38,2561760.7,2561680.3
12/6/2021,08:11.4,-17.07,32.75,211,3578,18,1236518.3,1047305.6
12/6/2021,08:11.4,-17.07,32.75,206,3289,31,2597618,2242436.8
12/6/2021,08:11.4,-17.07,32.75,180,3726,15,1082031.1,807731.3
12/6/2021,08:11.5,-17.07,32.75,169,2994,23,859740.8,876488.7
12/6/2021,08:11.5,-17.07,32.75,160,3302,29,2245417.9,2070578.6
12/6/2021,08:11.5,-17.07,32.75,166,3279,26,1837269.6,1627332.2
12/6/2021,08:11.5,-17.07,32.75,169,3109,16,508321.4,489866.4
12/6/2021,08:11.5,-17.07,32.75,176,3252,19,998764.8,851767.8
12/6/2021,08:11.6,-17.07,32.75,188,3394,17,950588.6,817778.9
12/6/2021,08:11.6,-17.07,32.75,222,3267,17,713984.9,639170
12/6/2021,08:11.6,-17.07,32.75,227,2962,16,359239.6,385171.4
12/6/2021,08:11.7,-17.07,32.75,173,3319,25,1771520,1580826.6
12/6/2021,08:11.7,-17.07,32.75,144,3043,32,1826336.8,1788242.9
12/6/2021,08:11.7,-17.07,32.75,120,2950,57,4976761,5093982.2
12/6/2021,08:11.7,-17.07,32.75,206,3492,17,986945.1,871964.6
12/6/2021,08:11.7,-17.07,32.75,166,3222,14,462303.9,441929.3
12/6/2021,08:11.7,-17.07,32.75,160,2953,25,963313.2,1003293.5
12/6/2021,08:11.7,-17.07,32.75,163,3443,20,1259945.2,1098273.3
12/6/2021,08:11.7,-17.07,32.75,196,3454,22,1605795.3,1391143.9
12/6/2021,08:11.8,-17.07,32.75,160,3390,15,717343.9,575441.4
12/6/2021,08:11.8,-17.07,32.75,152,3227,18,785342.8,730134.1
12/6/2021,08:11.8,-17.07,32.75,184,3377,24,1850540.7,1573055.6
12/6/2021,08:11.8,-17.07,32.75,240,3438,20,1324098.7,1120262.5
12/6/2021,08:11.8,-17.07,32.75,169,3682,18,1400752.9,1136568.2
12/6/2021,08:11.9,-17.07,32.75,180,3201,25,1417220.3,1384998.8
12/6/2021,08:11.9,-17.07,32.75,160,2543,29,609352,693835.3
12/6/2021,08:11.9,-17.07,32.75,176,4217,9,647764.5,431383.4
12/6/2021,08:11.9,-17.07,32.75,169,3313,19,941043,849932.8
12/6/2021,08:11.9,-17.07,32.75,180,3246,19,889048.1,814079.9
12/6/2021,08:12.0,-17.07,32.75,188,3256,40,3972738.4,3699952.7
12/6/2021,08:12.0,-17.07,32.75,166,3433,18,1135895.8,925312.5
12/6/2021,08:12.0,-17.07,32.75,149,3076,23,986456.9,957468.8
12/6/2021,08:12.0,-17.07,32.75,169,2938,42,2555192.9,2717996
12/6/2021,08:12.8,-17.07,32.75,173,3317,25,1777323.5,1535970.6
12/6/2021,08:12.9,-17.07,32.75,184,3732,18,1645177.3,1183895.1
12/6/2021,08:12.1,-17.07,32.75,196,3300,18,829865.8,767609.3
12/6/2021,08:12.1,-17.07,32.75,211,3871,11,665864.6,476620.6
12/6/2021,08:12.1,-17.07,32.75,176,3347,18,885280.5,789436.2
12/6/2021,08:12.1,-17.07,32.75,55,2947,17,422872,442411.9
12/6/2021,08:12.2,-17.07,32.75,163,3067,17,489494.7,499849.6
12/6/2021,08:12.2,-17.07,32.75,180,3261,21,1040134.9,983110.2
12/6/2021,08:12.2,-17.07,32.75,166,3113,15,468983.6,433252.5
12/6/2021,08:12.2,-17.07,32.75,139,3409,18,1067769.4,869225.8
12/6/2021,08:12.2,-17.07,32.75,152,2926,25,908675.9,963086.7
12/6/2021,08:12.2,-17.07,32.75,206,3539,20,1647961.8,1323567.9
12/6/2021,08:12.3,-17.07,32.75,163,3587,12,570295.5,455901.9
12/6/2021,08:12.3,-17.07,32.75,149,3081,33,2171267.8,2052782
12/6/2021,08:12.3,-17.07,32.75,59,3431,23,1996978.4,1485737.1
12/6/2021,08:12.4,-17.07,32.75,146,3068,18,600269.7,583661.9
12/6/2021,08:12.4,-17.07,32.75,146,3056,44,3682494.7,3555034
12/6/2021,08:12.4,-17.07,32.75,160,3078,29,1501956.9,1517391.5
12/6/2021,08:12.4,-17.07,32.75,240,3873,17,1688236.8,1270973.6
12/6/2021,08:12.4,-17.07,32.75,184,3406,15,725564,637857.3
12/6/2021,08:12.4,-17.07,32.75,196,3364,17,955494.2,798642.8
12/6/2021,08:12.5,-17.07,32.75,211,3329,16,707037.3,626633
12/6/2021,08:12.5,-17.07,32.75,163,3266,28,1937336.9,1783794.3
12/6/2021,08:12.5,-17.07,32.75,154,3369,16,774324.6,684883.9
